num_jobs,service_time,eps,instance_number,OPT,preemptive,non-preemptive,pre-non-pre
20.0,10000.0,0.001,1.0,10643.575828877205,383.6943062666014,30.722377147747466,30.722377147747466
20.0,10000.0,0.001,2.0,11024.017864940777,628.2706814736466,11.150773742847376,12.311144036586485
20.0,10000.0,0.001,3.0,10611.135174793406,1076.9221561409067,9.997061089896308,9.997061089896308
20.0,10000.0,0.001,4.0,10765.406808538211,1013.8194233791291,40.31886055662471,47.98296084455251
20.0,10000.0,0.001,5.0,10695.739331005268,624.8137155930742,29.038232641432838,45.40287108482153
20.0,10000.0,0.001,6.0,10963.877865303957,775.7214821745929,20.46192709225943,22.022291768040304
20.0,10000.0,0.001,7.0,10793.235899469317,468.36738568342656,27.404852613377447,30.117571447522998
20.0,10000.0,0.001,8.0,10632.791016448444,777.8096487512137,31.20845854641265,31.20845854641265
20.0,10000.0,0.001,9.0,10569.040294671911,97.49527870169916,32.08535505998589,32.08535505998589
20.0,10000.0,0.001,10.0,10656.889575267773,951.6148092782423,20.213027428460922,22.63606995603368
20.0,10000.0,0.01,1.0,12370.32770860728,465.4593223423472,37.2760620573099,44.07616711976516
20.0,10000.0,0.01,2.0,10739.978664016144,375.4106802185617,15.879471301992453,21.111340866948012
20.0,10000.0,0.01,3.0,10829.960437607768,610.1354555917296,29.97305139533273,333.0205678521488
20.0,10000.0,0.01,4.0,10576.3336816458,854.953740523224,49.73569151313313,49.73569151313313
20.0,10000.0,0.01,5.0,10855.258268663696,588.2114213624518,31.21299739940514,61.78296062596018
20.0,10000.0,0.01,6.0,10825.737069474382,352.3233548680328,32.548571885234196,37.11478894896028
20.0,10000.0,0.01,7.0,10620.73523616103,595.7606902987627,34.25893185316818,52.01278638914664
20.0,10000.0,0.01,8.0,10855.948714501865,435.7901941292383,26.80145941368573,24.73516814279173
20.0,10000.0,0.01,9.0,11754.050890028904,466.5719604691203,39.53664432103688,51.59999048765712
20.0,10000.0,0.01,10.0,10589.192593949982,475.50655059364715,23.179838636619024,27.33526200540109
20.0,10000.0,0.02,1.0,10666.676796254798,727.4939633737248,39.77174071276568,39.77174071276568
20.0,10000.0,0.02,2.0,10705.554460854884,706.7984628013147,39.264392714958376,18.7002896012782
20.0,10000.0,0.02,3.0,10900.23808765312,604.9465292848854,33.62386267239889,36.602753767883776
20.0,10000.0,0.02,4.0,10767.770681352951,538.5523318746618,32.99738024434009,26.3646744790658
20.0,10000.0,0.02,5.0,11206.078446217743,234.3659302341221,25.35395553446505,40.365469625678095
20.0,10000.0,0.02,6.0,10663.436053623089,460.9461960381941,39.82170302823397,44.368437256862315
20.0,10000.0,0.02,7.0,11387.657863958362,707.7881496281682,40.7956151259732,41.49144479424467
20.0,10000.0,0.02,8.0,10545.90215501602,681.7365553318467,49.889331148235215,49.889331148235215
20.0,10000.0,0.02,9.0,10463.609521038674,404.2138388843323,71.70820532806283,67.39753967669276
20.0,10000.0,0.02,10.0,17856.596210139676,573.0028632933572,37.68063183931372,47.29432481103504
