num_jobs,service_time,eps,instance_number,OPT,preemptive,non-preemptive,pre-non-pre
20.0,10000.0,0.001,1.0,10717.483898008612,104.22338757922992,22.31171123827517,38.44750347968511
20.0,10000.0,0.001,2.0,10668.167518229611,15.09355646154836,12.142609005748456,12.142609005748456
20.0,10000.0,0.001,3.0,10637.663593325347,60.34696452103344,19.14516073469167,43.393944909066704
20.0,10000.0,0.001,4.0,10641.092393324732,80.96742668802653,52.488095665068606,52.488095665068606
20.0,10000.0,0.001,5.0,16657.252564275663,33.149644470864594,36.98354420388205,33.14964447043894
20.0,10000.0,0.001,6.0,10766.636037345,64.90619028698347,11.944833338286116,25.037376667622084
20.0,10000.0,0.001,7.0,10667.461111391263,44.484773666083136,16.883473351112116,32.4618059137847
20.0,10000.0,0.001,8.0,10982.000621573388,98.05049915424023,50.05959204120154,50.05959204120154
20.0,10000.0,0.001,9.0,17534.809652964115,46.9247663540591,50.68399888753629,46.924766354095475
20.0,10000.0,0.001,10.0,11025.411754164084,88.78786794360347,34.62912305996542,78.69925923266237
20.0,10000.0,0.01,1.0,10579.901804907211,43.084994795422965,37.09839250813639,38.96562838056707
20.0,10000.0,0.01,2.0,10699.858958020994,59.87343554131621,62.15163915751691,60.83920575480442
20.0,10000.0,0.01,3.0,10742.652910362882,54.17477628924826,25.96599387177957,24.17645844046092
20.0,10000.0,0.01,4.0,10654.813725579468,45.879324667979745,34.22041671893385,40.97223472956102
20.0,10000.0,0.01,5.0,10784.592295332268,83.52796393185963,36.556380358417286,127.82052088007731
20.0,10000.0,0.01,6.0,10568.891222298556,81.37711025685348,55.26494591877054,55.26494591877054
20.0,10000.0,0.01,7.0,12312.955127934873,49.432381295451705,41.139288440930606,49.43238129565179
20.0,10000.0,0.01,8.0,10660.778706658037,34.07989381351945,29.119795856444398,29.119795856444398
20.0,10000.0,0.01,9.0,11346.87093506702,45.155152238256036,19.624045224936708,45.155152238281524
20.0,10000.0,0.01,10.0,10801.27351286368,98.48592851712601,34.60351979803818,95.75830012863665
20.0,10000.0,0.02,1.0,11606.066395250848,57.533624575662536,34.66257622710145,47.937027691599724
20.0,10000.0,0.02,2.0,10606.099149469714,96.2918585388652,57.037805244948686,63.8971492419605
20.0,10000.0,0.02,3.0,10738.94531231892,59.374221819987724,26.87184829012221,26.87184829012221
20.0,10000.0,0.02,4.0,10678.899293781373,61.59104959284559,40.800885929722426,59.06088833066315
20.0,10000.0,0.02,5.0,10609.74707800205,73.79294276742075,30.583410766228557,38.64803597511309
20.0,10000.0,0.02,6.0,10710.458034406118,75.46543191931414,134.45008744700314,88.77224890901743
20.0,10000.0,0.02,7.0,13158.290759766911,126.52976462798506,103.71992216279249,126.5297646281524
20.0,10000.0,0.02,8.0,10534.854845455131,90.19926966671484,51.506842328195496,88.27653999426548
20.0,10000.0,0.02,9.0,10607.48278021328,68.23730147505741,38.522549559920655,67.70188105131456
20.0,10000.0,0.02,10.0,10836.326521660278,50.505061631691206,24.72686412728035,32.02186756386618
20.0,10000.0,0.03,1.0,11106.881255925471,74.2239718026176,56.75486783178349,56.75486783178349
20.0,10000.0,0.03,2.0,10687.68938981822,82.68406134138786,29.562802970547644,58.681604590301504
20.0,10000.0,0.03,3.0,10459.586493092913,106.51007138302704,53.8914292049376,46.407230091306715
