num_jobs,service_time,eps,instance_number,rep_number,OPT,preemptive,non-preemptive,pre-non-pre
5.0,20000.0,0.001,1.0,100.0,750.3585928271742,794.9232970367343,752.7484049738779,782.5590273550928
5.0,20000.0,0.001,2.0,100.0,749.9773961058468,743.8783607892447,739.8598068603168,719.8207591971504
5.0,20000.0,0.001,3.0,100.0,749.7644248325688,758.5402051804152,725.6024717090582,712.8947900643087
5.0,20000.0,0.001,4.0,100.0,748.9768489880498,789.0227754211344,690.2651060009077,774.4742323814047
5.0,20000.0,0.001,5.0,100.0,749.4944051370572,806.4359991068809,790.1409852382088,810.1444522545787
5.0,20000.0,0.001,6.0,100.0,749.0771024062967,786.4214280418039,787.7128968069796,667.6302157776853
5.0,20000.0,0.001,7.0,100.0,749.9687521023151,694.2113845658023,752.0276674796318,824.1863669259598
5.0,20000.0,0.001,8.0,100.0,749.6891027869252,791.7486143439353,767.2534058558807,778.2665685596902
5.0,20000.0,0.001,9.0,100.0,749.410433712756,731.2596093237271,784.4224327800287,735.4704456969336
5.0,20000.0,0.001,10.0,100.0,749.9186471204576,786.1944553829318,790.0004072103128,790.392378441151
5.0,20000.0,0.001,11.0,100.0,749.761887265046,770.1210275051003,808.6296250559903,697.2638980006908
5.0,20000.0,0.001,12.0,100.0,749.6021550471112,744.8479645861232,776.1422725171274,719.7390050186863
5.0,20000.0,0.001,13.0,100.0,750.3799035182768,791.3317978105728,772.1466763478438,773.0971889743871
5.0,20000.0,0.001,14.0,100.0,749.7202247294922,784.178931260623,713.4323795932111,760.4219720459688
5.0,20000.0,0.001,15.0,100.0,750.4152104195587,763.5233508152537,763.2574513710298,787.0006652282707
5.0,20000.0,0.001,16.0,100.0,750.0195500720648,712.7453201257581,700.9814127250772,826.6742490072095
5.0,20000.0,0.001,17.0,100.0,749.7755277996222,759.4013681501393,713.9564007215653,743.4099341876477
5.0,20000.0,0.001,18.0,100.0,749.0246931852388,737.9247681429476,709.0269863053578,747.7815024093236
5.0,20000.0,0.001,19.0,100.0,750.2624246296599,756.0380160388735,756.028967787404,716.5717926318449
5.0,20000.0,0.001,20.0,100.0,749.7092220151892,728.5031524639122,737.3427713190613,728.287161795573
5.0,20000.0,0.001,21.0,100.0,749.5060231514522,778.1795680218788,791.3600543474413,755.6703760267807
5.0,20000.0,0.001,22.0,100.0,749.2994674017159,732.9790906013609,738.2455166520251,775.4152207919209
5.0,20000.0,0.001,23.0,100.0,749.4872741911363,830.7106650766292,702.1192080533713,717.9851371901518
5.0,20000.0,0.001,24.0,100.0,749.4351253172576,739.8358758780348,738.3384581134508,715.2531904311403
5.0,20000.0,0.001,25.0,100.0,749.5519959294228,744.4224508077527,706.2312910271753,813.6568334633107
5.0,20000.0,0.001,26.0,100.0,749.2806886029358,776.7908432296898,769.4554085351238,680.1064866581626
5.0,20000.0,0.001,27.0,100.0,749.8807210173088,690.0939205144491,729.3680258609583,797.848283135427
5.0,20000.0,0.001,28.0,100.0,749.3076174944079,781.2988172181282,745.7868304826701,804.5303714778831
5.0,20000.0,0.001,29.0,100.0,749.3953438471291,738.4134930286698,772.9520434729898,729.2401521865089
5.0,20000.0,0.001,30.0,100.0,749.7658140249733,710.3758558557596,716.5481354185986,722.5310469924184
5.0,20000.0,0.001,31.0,100.0,749.7988468564994,744.0825025240637,694.6571782258687,772.3110880414818
